[32m2023-04-13 11:18:43.758[0;39m [INFO] com.netflix.discovery.DiscoveryClient [SpringApplicationShutdownHook] Unregistering ...
[32m2023-04-13 11:18:43.765[0;39m [INFO] com.netflix.discovery.DiscoveryClient [SpringApplicationShutdownHook] DiscoveryClient_ORDER-MANAGER/DESKTOP-E3M45P6.ABLAB.local:order-manager:8081 - deregister  status: 200
[32m2023-04-13 11:18:43.770[0;39m [INFO] com.netflix.discovery.DiscoveryClient [SpringApplicationShutdownHook] Completed shut down of DiscoveryClient
[32m2023-04-13 11:18:49.807[0;39m [INFO] com.tradeteam.OrderManagerApplication [main] Starting OrderManagerApplication using Java 17.0.6 with PID 7772 (C:\Users\jbritland\Documents\OrderBook\OrderManager\target\classes started by jbritland in C:\Users\jbritland\Documents\OrderBook\OrderManager)
[32m2023-04-13 11:18:49.810[0;39m [INFO] com.tradeteam.OrderManagerApplication [main] No active profile set, falling back to 1 default profile: "default"
[32m2023-04-13 11:18:51.282[0;39m [INFO] org.springframework.data.repository.config.RepositoryConfigurationDelegate [main] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[32m2023-04-13 11:18:51.560[0;39m [INFO] org.springframework.data.repository.config.RepositoryConfigurationDelegate [main] Finished Spring Data repository scanning in 263 ms. Found 1 JPA repository interfaces.
[32m2023-04-13 11:18:52.063[0;39m [INFO] org.springframework.cloud.context.scope.GenericScope [main] BeanFactory id=f0fd697f-02a9-34ad-8215-29efafbcb3bb
[32m2023-04-13 11:18:52.208[0;39m [INFO] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [main] Bean 'com.tradeteam.consumers.TradingEngineApiConsumer' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[32m2023-04-13 11:18:52.698[0;39m [INFO] org.springframework.boot.web.embedded.tomcat.TomcatWebServer [main] Tomcat initialized with port(s): 8081 (http)
[32m2023-04-13 11:18:52.711[0;39m [INFO] org.apache.catalina.core.StandardService [main] Starting service [Tomcat]
[32m2023-04-13 11:18:52.712[0;39m [INFO] org.apache.catalina.core.StandardEngine [main] Starting Servlet engine: [Apache Tomcat/10.1.7]
[32m2023-04-13 11:18:53.226[0;39m [INFO] org.apache.jasper.servlet.TldScanner [main] At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
[32m2023-04-13 11:18:53.238[0;39m [INFO] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [main] Initializing Spring embedded WebApplicationContext
[32m2023-04-13 11:18:53.239[0;39m [INFO] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext [main] Root WebApplicationContext: initialization completed in 3048 ms
[32m2023-04-13 11:18:53.500[0;39m [INFO] org.hibernate.jpa.internal.util.LogHelper [main] HHH000204: Processing PersistenceUnitInfo [name: default]
[32m2023-04-13 11:18:53.576[0;39m [INFO] org.hibernate.Version [main] HHH000412: Hibernate ORM core version 6.1.7.Final
[32m2023-04-13 11:18:54.040[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [main] HikariPool-1 - Starting...
[32m2023-04-13 11:18:54.437[0;39m [INFO] com.zaxxer.hikari.pool.HikariPool [main] HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4db568e1
[32m2023-04-13 11:18:54.439[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [main] HikariPool-1 - Start completed.
[32m2023-04-13 11:18:54.515[0;39m [INFO] SQL dialect [main] HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[32m2023-04-13 11:18:55.441[0;39m [INFO] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator [main] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[32m2023-04-13 11:18:55.454[0;39m [INFO] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean [main] Initialized JPA EntityManagerFactory for persistence unit 'default'
[32m2023-04-13 11:18:55.592[0;39m [WARN] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration [main] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[32m2023-04-13 11:18:55.822[0;39m [INFO] org.springframework.cloud.openfeign.FeignClientFactoryBean [main] For 'trading-engine' URL not provided. Will try picking an instance via load-balancing.
[32m2023-04-13 11:18:56.768[0;39m [INFO] org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping [main] Adding welcome page template: index
[32m2023-04-13 11:18:57.054[0;39m [INFO] org.springframework.security.web.DefaultSecurityFilterChain [main] Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@17d6b6e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5c452e69, org.springframework.security.web.context.SecurityContextHolderFilter@6da53709, org.springframework.security.web.header.HeaderWriterFilter@7d569c10, org.springframework.security.web.csrf.CsrfFilter@466a5b80, org.springframework.security.web.authentication.logout.LogoutFilter@48306567, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@72e5f018, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@689504b1, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@5c519681, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6b438782, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2b55ac77, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5d6d6533, org.springframework.security.web.access.ExceptionTranslationFilter@2ab0ca04, org.springframework.security.web.access.intercept.AuthorizationFilter@5ea9f2f3]
[32m2023-04-13 11:18:57.574[0;39m [INFO] org.springframework.cloud.netflix.eureka.config.DiscoveryClientOptionalArgsConfiguration [main] Eureka HTTP Client uses RestTemplate.
[32m2023-04-13 11:18:57.674[0;39m [WARN] org.springframework.cloud.loadbalancer.config.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger [main] Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
[32m2023-04-13 11:18:57.725[0;39m [INFO] org.springframework.cloud.netflix.eureka.InstanceInfoFactory [main] Setting initial instance status as: STARTING
[32m2023-04-13 11:18:57.820[0;39m [INFO] com.netflix.discovery.DiscoveryClient [main] Initializing Eureka in region us-east-1
[32m2023-04-13 11:18:57.825[0;39m [INFO] com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver [main] Resolving eureka endpoints via configuration
[32m2023-04-13 11:18:57.851[0;39m [INFO] com.netflix.discovery.DiscoveryClient [main] Disable delta property : false
[32m2023-04-13 11:18:57.851[0;39m [INFO] com.netflix.discovery.DiscoveryClient [main] Single vip registry refresh property : null
